@id @lat @lon
id183 0.1 -0.1
id184 -2.1 38.1
id185 -48.6 -37.7
id186 -27.1 8.4
id187 6.6 -6.9
id188 -2.3 38.3
id189 6.8 -6.9
id190 -2.5 38.3
id191 0.1 -0.1
id192 -2.1 38.1
id193 -48.6 -37.7
id194 -27.1 8.4
id195 6.6 -6.9
id196 -2.3 38.3
id197 6.8 -6.9
id198 -2.5 38.3
id199 0.1 -0.1
id200 -2.1 38.1
id201 -48.6 -37.7
id202 -27.1 8.4
id203 6.6 -6.9
id204 -2.3 38.3
id205 6.8 -6.9
id206 -2.5 38.3
id207 0.1 -0.1
id208 -2.1 38.1
id209 -48.6 -37.7
id210 -27.1 8.4
id211 6.6 -6.9
id212 -2.3 38.3
id213 6.8 -6.9
id214 -2.5 38.3
id215 0.1 -0.1
id216 -2.1 38.1
id217 -48.6 -37.7
id218 -27.1 8.4
id219 6.6 -6.9
id220 -2.3 38.3
id221 6.8 -6.9
id222 -2.5 38.3
id223 0.1 -0.1
id224 -2.1 38.1
id225 -48.6 -37.7
id226 -27.1 8.4
id227 6.6 -6.9
id228 -2.3 38.3
id229 6.8 -6.9
id230 -2.5 38.3
id231 0.1 -0.1
id232 -2.1 38.1
id233 -48.6 -37.7
id234 -27.1 8.4
id235 6.6 -6.9
id236 -2.3 38.3
id237 6.8 -6.9
id238 -2.5 38.3
id239 0.1 -0.1
id240 -2.1 38.1
id241 -48.6 -37.7
id242 -27.1 8.4
id243 6.6 -6.9
id244 -2.3 38.3
id245 6.8 -6.9
id246 -2.5 38.3
id247 0.1 -0.1
id248 -2.1 38.1
id249 -48.6 -37.7
id250 -27.1 8.4
id251 6.6 -6.9
id252 -2.3 38.3
id253 6.8 -6.9
id254 -2.5 38.3
id255 0.1 -0.1
id256 -2.1 38.1
id257 -48.6 -37.7
id258 -27.1 8.4
id259 6.6 -6.9
id260 -2.3 38.3
id261 6.8 -6.9
id262 -2.5 38.3
id263 0.1 -0.1
id264 -2.1 38.1
id265 -48.6 -37.7
id266 -27.1 8.4
id267 6.6 -6.9
id268 -2.3 38.3
id269 6.8 -6.9
id270 -2.5 38.3
id271 0.1 -0.1
id272 -2.1 38.1
id273 -48.6 -37.7
id274 -27.1 8.4
id275 6.6 -6.9
id276 -2.3 38.3
id277 6.8 -6.9
id278 -2.5 38.3
id279 0.1 -0.1
id280 -2.1 38.1
id281 -48.6 -37.7
id282 -27.1 8.4
id283 6.6 -6.9
id284 -2.3 38.3
id285 6.8 -6.9
id286 -2.5 38.3
id287 0.1 -0.1
id288 -2.1 38.1
id289 -48.6 -37.7
id290 -27.1 8.4
id291 6.6 -6.9
id292 -2.3 38.3
id293 6.8 -6.9
id294 -2.5 38.3
id295 0.1 -0.1
id296 -2.1 38.1
id297 -48.6 -37.7
id298 -27.1 8.4
id299 6.6 -6.9
id300 -2.3 38.3
id301 6.8 -6.9
id302 -2.5 38.3
id303 0.1 -0.1
id304 -2.1 38.1
id305 -48.6 -37.7
id306 -27.1 8.4
id307 6.6 -6.9
id308 -2.3 38.3
id309 6.8 -6.9
id310 -2.5 38.3
id311 0.1 -0.1
id312 -2.1 38.1
id313 -48.6 -37.7
id314 -27.1 8.4
id315 6.6 -6.9
id316 -2.3 38.3
id317 6.8 -6.9
id318 -2.5 38.3
id319 0.1 -0.1
id320 -2.1 38.1
id321 -48.6 -37.7
id322 -27.1 8.4
id323 6.6 -6.9
id324 -2.3 38.3
id325 6.8 -6.9
id326 -2.5 38.3
id327 0.1 -0.1
id328 -2.1 38.1
id329 -48.6 -37.7
id330 -27.1 8.4
id331 6.6 -6.9
id332 -2.3 38.3
id333 6.8 -6.9
id334 -2.5 38.3
id335 0.1 -0.1
id336 -2.1 38.1
id337 -48.6 -37.7
id338 -27.1 8.4
id339 6.6 -6.9
id340 -2.3 38.3
id341 6.8 -6.9
id342 -2.5 38.3
id343 0.1 -0.1
id344 -2.1 38.1
id345 -48.6 -37.7
id346 -27.1 8.4
id347 6.6 -6.9
id348 -2.3 38.3
id349 6.8 -6.9
id350 -2.5 38.3
id351 0.1 -0.1
id352 -2.1 38.1
id353 -48.6 -37.7
id354 -27.1 8.4
id355 6.6 -6.9
id356 -2.3 38.3
id357 6.8 -6.9
id358 -2.5 38.3
id359 0.1 -0.1
id360 -2.1 38.1
id361 -48.6 -37.7
id362 -27.1 8.4
id363 6.6 -6.9
id364 -2.3 38.3
id365 6.8 -6.9
id366 -2.5 38.3
id367 0.1 -0.1
id368 -2.1 38.1
id369 -48.6 -37.7
id370 -27.1 8.4
id371 6.6 -6.9
id372 -2.3 38.3
id373 6.8 -6.9
id374 -2.5 38.3
id375 0.1 -0.1
id376 -2.1 38.1
id377 -48.6 -37.7
id378 -27.1 8.4
id379 6.6 -6.9
id380 -2.3 38.3
id381 6.8 -6.9
id382 -2.5 38.3
id383 0.1 -0.1
id384 -2.1 38.1
id385 -48.6 -37.7
id386 -27.1 8.4
id387 6.6 -6.9
id388 -2.3 38.3
id389 6.8 -6.9
id390 -2.5 38.3
id391 0.1 -0.1
id392 -2.1 38.1
id393 -48.6 -37.7
id394 -27.1 8.4
id395 6.6 -6.9
id396 -2.3 38.3
id397 6.8 -6.9
id398 -2.5 38.3
id399 0.1 -0.1
id400 -2.1 38.1
id401 -48.6 -37.7
id402 -27.1 8.4
id403 6.6 -6.9
id404 -2.3 38.3
id405 6.8 -6.9
id406 -2.5 38.3
id407 0.1 -0.1
id408 -2.1 38.1
id409 -48.6 -37.7
id410 -27.1 8.4
id411 6.6 -6.9
id412 -2.3 38.3
id413 6.8 -6.9
id414 -2.5 38.3
id415 0.1 -0.1
id416 -2.1 38.1
id417 -48.6 -37.7
id418 -27.1 8.4
id419 6.6 -6.9
id420 -2.3 38.3
id421 6.8 -6.9
id422 -2.5 38.3
id423 0.1 -0.1
id424 -2.1 38.1
id425 -48.6 -37.7
id426 -27.1 8.4
id427 6.6 -6.9
id428 -2.3 38.3
id429 6.8 -6.9
id430 -2.5 38.3
id431 0.1 -0.1
id432 -2.1 38.1
id433 -48.6 -37.7
id434 -27.1 8.4
id435 6.6 -6.9
id436 -2.3 38.3
id437 6.8 -6.9
id438 -2.5 38.3
id439 0.1 -0.1
id440 -2.1 38.1
id441 -48.6 -37.7
id442 -27.1 8.4
id443 6.6 -6.9
id444 -2.3 38.3
id445 6.8 -6.9
id446 -2.5 38.3
id447 0.1 -0.1
id448 -2.1 38.1
id449 -48.6 -37.7
id450 -27.1 8.4
id451 6.6 -6.9
id452 -2.3 38.3
id453 6.8 -6.9
id454 -2.5 38.3
id455 0.1 -0.1
id456 -2.1 38.1
id457 -48.6 -37.7
id458 -27.1 8.4
id459 6.6 -6.9
id460 -2.3 38.3
id461 6.8 -6.9
id462 -2.5 38.3
id463 0.1 -0.1
id464 -2.1 38.1
id465 -48.6 -37.7
id466 -27.1 8.4
id467 6.6 -6.9
id468 -2.3 38.3
id469 6.8 -6.9
id470 -2.5 38.3
id471 0.1 -0.1
id472 -2.1 38.1
id473 -48.6 -37.7
id474 -27.1 8.4
id475 6.6 -6.9
id476 -2.3 38.3
id477 6.8 -6.9
id478 -2.5 38.3
id479 0.1 -0.1
id480 -2.1 38.1
id481 -48.6 -37.7
id482 -27.1 8.4
id483 6.6 -6.9
id484 -2.3 38.3
id485 6.8 -6.9
id486 -2.5 38.3
id487 0.1 -0.1
id488 -2.1 38.1
id489 -48.6 -37.7
id490 -27.1 8.4
id491 6.6 -6.9
id492 -2.3 38.3
id493 6.8 -6.9
id494 -2.5 38.3
id495 0.1 -0.1
id496 -2.1 38.1
id497 -48.6 -37.7
id498 -27.1 8.4
id499 6.6 -6.9
id500 -2.3 38.3
id501 6.8 -6.9
id502 -2.5 38.3
id503 0.1 -0.1
id504 -2.1 38.1
id505 -48.6 -37.7
id506 -27.1 8.4
id507 6.6 -6.9
id508 -2.3 38.3
id509 6.8 -6.9
id510 -2.5 38.3
id511 0.1 -0.1
id512 -2.1 38.1
id513 -48.6 -37.7
id514 -27.1 8.4
id515 6.6 -6.9
id516 -2.3 38.3
id517 6.8 -6.9
id518 -2.5 38.3
id519 0.1 -0.1
id520 -2.1 38.1
id521 -48.6 -37.7
id522 -27.1 8.4
id523 6.6 -6.9
id524 -2.3 38.3
id525 6.8 -6.9
id526 -2.5 38.3
id527 0.1 -0.1
id528 -2.1 38.1
id529 -48.6 -37.7
id530 -27.1 8.4
id531 6.6 -6.9
id532 -2.3 38.3
id533 6.8 -6.9
id534 -2.5 38.3
id535 0.1 -0.1
id536 -2.1 38.1
id537 -48.6 -37.7
id538 -27.1 8.4
id539 6.6 -6.9
id540 -2.3 38.3
id541 6.8 -6.9
id542 -2.5 38.3
id543 0.1 -0.1
id544 -2.1 38.1
id545 -48.6 -37.7
id546 -27.1 8.4
id547 6.6 -6.9
id548 -2.3 38.3
id549 6.8 -6.9
id550 -2.5 38.3
id551 0.1 -0.1
id552 -2.1 38.1
id553 -48.6 -37.7
id554 -27.1 8.4
id555 6.6 -6.9
id556 -2.3 38.3
id557 6.8 -6.9
id558 -2.5 38.3
id559 0.1 -0.1
id560 -2.1 38.1
id561 -48.6 -37.7
id562 -27.1 8.4
id563 6.6 -6.9
id564 -2.3 38.3
id565 6.8 -6.9
id566 -2.5 38.3
id567 0.1 -0.1
id568 -2.1 38.1
id569 -48.6 -37.7
id570 -27.1 8.4
id571 6.6 -6.9
id572 -2.3 38.3
id573 6.8 -6.9
id574 -2.5 38.3
id575 0.1 -0.1
id576 -2.1 38.1
id577 -48.6 -37.7
id578 -27.1 8.4
id579 6.6 -6.9
id580 -2.3 38.3
id581 6.8 -6.9
id582 -2.5 38.3
id583 0.1 -0.1
id584 -2.1 38.1
id585 -48.6 -37.7
id586 -27.1 8.4
id587 6.6 -6.9
id588 -2.3 38.3
id589 6.8 -6.9
id590 -2.5 38.3
id591 0.1 -0.1
id592 -2.1 38.1
id593 -48.6 -37.7
id594 -27.1 8.4
id595 6.6 -6.9
id596 -2.3 38.3
id597 6.8 -6.9
id598 -2.5 38.3
id599 0.1 -0.1
id600 -2.1 38.1
id601 -48.6 -37.7
id602 -27.1 8.4
id603 6.6 -6.9
id604 -2.3 38.3
id605 6.8 -6.9
id606 -2.5 38.3
id607 0.1 -0.1
id608 -2.1 38.1
id609 -48.6 -37.7
id610 -27.1 8.4
id611 6.6 -6.9
id612 -2.3 38.3
id613 6.8 -6.9
id614 -2.5 38.3
id615 0.1 -0.1
id616 -2.1 38.1
id617 -48.6 -37.7
id618 -27.1 8.4
id619 6.6 -6.9
id620 -2.3 38.3
id621 6.8 -6.9
id622 -2.5 38.3
id623 0.1 -0.1
id624 -2.1 38.1
id625 -48.6 -37.7
id626 -27.1 8.4
id627 6.6 -6.9
id628 -2.3 38.3
id629 6.8 -6.9
id630 -2.5 38.3
id631 0.1 -0.1
id632 -2.1 38.1
id633 -48.6 -37.7
id634 -27.1 8.4
id635 6.6 -6.9
id636 -2.3 38.3
id637 6.8 -6.9
id638 -2.5 38.3
id639 0.1 -0.1
id640 -2.1 38.1
id641 -48.6 -37.7
id642 -27.1 8.4
id643 6.6 -6.9
id644 -2.3 38.3
id645 6.8 -6.9
id646 -2.5 38.3
id647 0.1 -0.1
id648 -2.1 38.1
id649 -48.6 -37.7
id650 -27.1 8.4
id651 6.6 -6.9
id652 -2.3 38.3
id653 6.8 -6.9
id654 -2.5 38.3
id655 0.1 -0.1
id656 -2.1 38.1
id657 -48.6 -37.7
id658 -27.1 8.4
id659 6.6 -6.9
id660 -2.3 38.3
id661 6.8 -6.9
id662 -2.5 38.3
id663 0.1 -0.1
id664 -2.1 38.1
id665 -48.6 -37.7
id666 -27.1 8.4
id667 6.6 -6.9
id668 -2.3 38.3
id669 6.8 -6.9
id670 -2.5 38.3
id671 0.1 -0.1
id672 -2.1 38.1
id673 -48.6 -37.7
id674 -27.1 8.4
id675 6.6 -6.9
id676 -2.3 38.3
id677 6.8 -6.9
id678 -2.5 38.3
id679 0.1 -0.1
id680 -2.1 38.1
id681 -48.6 -37.7
id682 -27.1 8.4
id683 6.6 -6.9
id684 -2.3 38.3
id685 6.8 -6.9
id686 -2.5 38.3
id687 0.1 -0.1
id688 -2.1 38.1
id689 -48.6 -37.7
id690 -27.1 8.4
id691 6.6 -6.9
id692 -2.3 38.3
id693 6.8 -6.9
id694 -2.5 38.3
id695 0.1 -0.1
id696 -2.1 38.1
id697 -48.6 -37.7
id698 -27.1 8.4
id699 6.6 -6.9
id700 -2.3 38.3
id701 6.8 -6.9
id702 -2.5 38.3
id703 0.1 -0.1
id704 -2.1 38.1
id705 -48.6 -37.7
id706 -27.1 8.4
id707 6.6 -6.9
id708 -2.3 38.3
id709 6.8 -6.9
id710 -2.5 38.3
id711 0.1 -0.1
id712 -2.1 38.1
id713 -48.6 -37.7
id714 -27.1 8.4
id715 6.6 -6.9
id716 -2.3 38.3
id717 6.8 -6.9
id718 -2.5 38.3
id719 0.1 -0.1
id720 -2.1 38.1
id721 -48.6 -37.7
id722 -27.1 8.4
id723 6.6 -6.9
id724 -2.3 38.3
id725 6.8 -6.9
id726 -2.5 38.3
id727 0.1 -0.1
id728 -2.1 38.1
id729 -48.6 -37.7
id730 -27.1 8.4
id731 6.6 -6.9
id732 -2.3 38.3
id733 6.8 -6.9
id734 -2.5 38.3
id735 0.1 -0.1
id736 -2.1 38.1
id737 -48.6 -37.7
id738 -27.1 8.4
id739 6.6 -6.9
id740 -2.3 38.3
id741 6.8 -6.9
id742 -2.5 38.3
id743 0.1 -0.1
id744 -2.1 38.1
id745 -48.6 -37.7
id746 -27.1 8.4
id747 6.6 -6.9
id748 -2.3 38.3
id749 6.8 -6.9
id750 -2.5 38.3
id751 0.1 -0.1
id752 -2.1 38.1
id753 -48.6 -37.7
id754 -27.1 8.4
id755 6.6 -6.9
id756 -2.3 38.3
id757 6.8 -6.9
id758 -2.5 38.3
id759 0.1 -0.1
id760 -2.1 38.1
id761 -48.6 -37.7
id762 -27.1 8.4
id763 6.6 -6.9
id764 -2.3 38.3
id765 6.8 -6.9
id766 -2.5 38.3
id767 0.1 -0.1
id768 -2.1 38.1
id769 -48.6 -37.7
id770 -27.1 8.4
id771 6.6 -6.9
id772 -2.3 38.3
id773 6.8 -6.9
id774 -2.5 38.3
id775 0.1 -0.1
id776 -2.1 38.1
id777 -48.6 -37.7
id778 -27.1 8.4
id779 6.6 -6.9
id780 -2.3 38.3
id781 6.8 -6.9
id782 -2.5 38.3
id783 0.1 -0.1
id784 -2.1 38.1
id785 -48.6 -37.7
id786 -27.1 8.4
id787 6.6 -6.9
id788 -2.3 38.3
id789 6.8 -6.9
id790 -2.5 38.3
id791 0.1 -0.1
id792 -2.1 38.1
id793 -48.6 -37.7
id794 -27.1 8.4
id795 6.6 -6.9
id796 -2.3 38.3
id797 6.8 -6.9
id798 -2.5 38.3
id799 0.1 -0.1
id800 -2.1 38.1
id801 -48.6 -37.7
id802 -27.1 8.4
id803 6.6 -6.9
id804 -2.3 38.3
id805 6.8 -6.9
id806 -2.5 38.3
id807 0.1 -0.1
id808 -2.1 38.1
id809 -48.6 -37.7
id810 -27.1 8.4
id811 6.6 -6.9
id812 -2.3 38.3
id813 6.8 -6.9
id814 -2.5 38.3
id815 0.1 -0.1
id816 -2.1 38.1
id817 -48.6 -37.7
id818 -27.1 8.4
id819 6.6 -6.9
id820 -2.3 38.3
id821 6.8 -6.9
id822 -2.5 38.3
id823 0.1 -0.1
id824 -2.1 38.1
id825 -48.6 -37.7
id826 -27.1 8.4
id827 6.6 -6.9
id828 -2.3 38.3
id829 6.8 -6.9
id830 -2.5 38.3
id831 0.1 -0.1
id832 -2.1 38.1
id833 -48.6 -37.7
id834 -27.1 8.4
id835 6.6 -6.9
id836 -2.3 38.3
id837 6.8 -6.9
id838 -2.5 38.3
id839 0.1 -0.1
id840 -2.1 38.1
id841 -48.6 -37.7
id842 -27.1 8.4
id843 6.6 -6.9
id844 -2.3 38.3
id845 6.8 -6.9
id846 -2.5 38.3
id847 0.1 -0.1
id848 -2.1 38.1
id849 -48.6 -37.7
id850 -27.1 8.4
id851 6.6 -6.9
id852 -2.3 38.3
id853 6.8 -6.9
id854 -2.5 38.3
id855 0.1 -0.1
id856 -2.1 38.1
id857 -48.6 -37.7
id858 -27.1 8.4
id859 6.6 -6.9
id860 -2.3 38.3
id861 6.8 -6.9
id862 -2.5 38.3
id863 0.1 -0.1
id864 -2.1 38.1
id865 -48.6 -37.7
id866 -27.1 8.4
id867 6.6 -6.9
id868 -2.3 38.3
id869 6.8 -6.9
id870 -2.5 38.3
id871 0.1 -0.1
id872 -2.1 38.1
id873 -48.6 -37.7
id874 -27.1 8.4
id875 6.6 -6.9
id876 -2.3 38.3
id877 6.8 -6.9
id878 -2.5 38.3
id879 0.1 -0.1
id880 -2.1 38.1
id881 -48.6 -37.7
id882 -27.1 8.4
id883 6.6 -6.9
id884 -2.3 38.3
id885 6.8 -6.9
id886 -2.5 38.3
id887 0.1 -0.1
id888 -2.1 38.1
id889 -48.6 -37.7
id890 -27.1 8.4
id891 6.6 -6.9
id892 -2.3 38.3
id893 6.8 -6.9
id894 -2.5 38.3
id895 0.1 -0.1
id896 -2.1 38.1
id897 -48.6 -37.7
id898 -27.1 8.4
id899 6.6 -6.9
id900 -2.3 38.3
id901 6.8 -6.9
id902 -2.5 38.3
id903 0.1 -0.1
id904 -2.1 38.1
id905 -48.6 -37.7
id906 -27.1 8.4
id907 6.6 -6.9
id908 -2.3 38.3
id909 6.8 -6.9
id910 -2.5 38.3
id911 0.1 -0.1
id912 -2.1 38.1
id913 -48.6 -37.7
id914 -27.1 8.4
id915 6.6 -6.9
id916 -2.3 38.3
id917 6.8 -6.9
id918 -2.5 38.3
id919 0.1 -0.1
id920 -2.1 38.1
id921 -48.6 -37.7
id922 -27.1 8.4
id923 6.6 -6.9
id924 -2.3 38.3
id925 6.8 -6.9
id926 -2.5 38.3
id927 0.1 -0.1
id928 -2.1 38.1
id929 -48.6 -37.7
id930 -27.1 8.4
id931 6.6 -6.9
id932 -2.3 38.3
id933 6.8 -6.9
id934 -2.5 38.3
id935 0.1 -0.1
id936 -2.1 38.1
id937 -48.6 -37.7
id938 -27.1 8.4
id939 6.6 -6.9
id940 -2.3 38.3
id941 6.8 -6.9
id942 -2.5 38.3
id943 0.1 -0.1
id944 -2.1 38.1
id945 -48.6 -37.7
id946 -27.1 8.4
id947 6.6 -6.9
id948 -2.3 38.3
id949 6.8 -6.9
id950 -2.5 38.3
id951 0.1 -0.1
id952 -2.1 38.1
id953 -48.6 -37.7
id954 -27.1 8.4
id955 6.6 -6.9
id956 -2.3 38.3
id957 6.8 -6.9
id958 -2.5 38.3
id959 0.1 -0.1
id960 -2.1 38.1
id961 -48.6 -37.7
id962 -27.1 8.4
id963 6.6 -6.9
id964 -2.3 38.3
id965 6.8 -6.9
id966 -2.5 38.3
id967 0.1 -0.1
id968 -2.1 38.1
id969 -48.6 -37.7
id970 -27.1 8.4
id971 6.6 -6.9
id972 -2.3 38.3
id973 6.8 -6.9
id974 -2.5 38.3
id975 0.1 -0.1
id976 -2.1 38.1
id977 -48.6 -37.7
id978 -27.1 8.4
id979 6.6 -6.9
id980 -2.3 38.3
id981 6.8 -6.9
id982 -2.5 38.3
id983 0.1 -0.1
id984 -2.1 38.1
id985 -48.6 -37.7
id986 -27.1 8.4
id987 6.6 -6.9
id988 -2.3 38.3
id989 6.8 -6.9
id990 -2.5 38.3
id991 0.1 -0.1
id992 -2.1 38.1
id993 -48.6 -37.7
id994 -27.1 8.4
id995 6.6 -6.9
id996 -2.3 38.3
id997 6.8 -6.9
id998 -2.5 38.3
id999 0.1 -0.1
id1000 -2.1 38.1
id1001 -48.6 -37.7
id1002 -27.1 8.4
id1003 6.6 -6.9
id1004 -2.3 38.3
id1005 6.8 -6.9
id1006 -2.5 38.3
id1007 0.1 -0.1
id1008 -2.1 38.1
id1009 -48.6 -37.7
id1010 -27.1 8.4
id1011 6.6 -6.9
id1012 -2.3 38.3
id1013 6.8 -6.9
id1014 -2.5 38.3
id1015 0.1 -0.1
id1016 -2.1 38.1
id1017 -48.6 -37.7
id1018 -27.1 8.4
id1019 6.6 -6.9
id1020 -2.3 38.3
id1021 6.8 -6.9
id1022 -2.5 38.3
id1023 0.1 -0.1
id1024 -2.1 38.1
id1025 -48.6 -37.7
id1026 -27.1 8.4
id1027 6.6 -6.9
id1028 -2.3 38.3
id1029 6.8 -6.9
id1030 -2.5 38.3
id1031 0.1 -0.1
id1032 -2.1 38.1
id1033 -48.6 -37.7
id1034 -27.1 8.4
id1035 6.6 -6.9
id1036 -2.3 38.3
id1037 6.8 -6.9
id1038 -2.5 38.3
id1039 0.1 -0.1
id1040 -2.1 38.1
id1041 -48.6 -37.7
id1042 -27.1 8.4
id1043 6.6 -6.9
id1044 -2.3 38.3
id1045 6.8 -6.9
id1046 -2.5 38.3
id1047 0.1 -0.1
id1048 -2.1 38.1
id1049 -48.6 -37.7
id1050 -27.1 8.4
id1051 6.6 -6.9
id1052 -2.3 38.3
id1053 6.8 -6.9
id1054 -2.5 38.3
id1055 0.1 -0.1
id1056 -2.1 38.1
id1057 -48.6 -37.7
id1058 -27.1 8.4
id1059 6.6 -6.9
id1060 -2.3 38.3
id1061 6.8 -6.9
id1062 -2.5 38.3
id1063 0.1 -0.1
id1064 -2.1 38.1
id1065 -48.6 -37.7
id1066 -27.1 8.4
id1067 6.6 -6.9
id1068 -2.3 38.3
id1069 6.8 -6.9
id1070 -2.5 38.3
id1071 0.1 -0.1
id1072 -2.1 38.1
id1073 -48.6 -37.7
id1074 -27.1 8.4
id1075 6.6 -6.9
id1076 -2.3 38.3
id1077 6.8 -6.9
id1078 -2.5 38.3
id1079 0.1 -0.1
id1080 -2.1 38.1
id1081 -48.6 -37.7
id1082 -27.1 8.4
id1083 6.6 -6.9
id1084 -2.3 38.3
id1085 6.8 -6.9
id1086 -2.5 38.3
id1087 0.1 -0.1
id1088 -2.1 38.1
id1089 -48.6 -37.7
id1090 -27.1 8.4
id1091 6.6 -6.9
id1092 -2.3 38.3
id1093 6.8 -6.9
id1094 -2.5 38.3
id1095 0.1 -0.1
id1096 -2.1 38.1
id1097 -48.6 -37.7
id1098 -27.1 8.4
id1099 6.6 -6.9
id1100 -2.3 38.3
id1101 6.8 -6.9
id1102 -2.5 38.3
id1103 0.1 -0.1
id1104 -2.1 38.1
id1105 -48.6 -37.7
id1106 -27.1 8.4
id1107 6.6 -6.9
id1108 -2.3 38.3
id1109 6.8 -6.9
id1110 -2.5 38.3
id1111 0.1 -0.1
id1112 -2.1 38.1
id1113 -48.6 -37.7
id1114 -27.1 8.4
id1115 6.6 -6.9
id1116 -2.3 38.3
id1117 6.8 -6.9
id1118 -2.5 38.3
id1119 0.1 -0.1
id1120 -2.1 38.1
id1121 -48.6 -37.7
id1122 -27.1 8.4
id1123 6.6 -6.9
id1124 -2.3 38.3
id1125 6.8 -6.9
id1126 -2.5 38.3
id1127 0.1 -0.1
id1128 -2.1 38.1
id1129 -48.6 -37.7
id1130 -27.1 8.4
id1131 6.6 -6.9
id1132 -2.3 38.3
id1133 6.8 -6.9
id1134 -2.5 38.3
id1135 0.1 -0.1
id1136 -2.1 38.1
id1137 -48.6 -37.7
id1138 -27.1 8.4
id1139 6.6 -6.9
id1140 -2.3 38.3
id1141 6.8 -6.9
